编号,震源号,震源X/m,震源Y/m,震源Z/m,台站X/m,台站Y/m,台站Z/m,到时/ms,传播时间/ms
,1,5435,10372,384,5265,10213,389,1027,66.5205200809249
,1,5435,10372,384,5511,10133,393,1037,71.7011940241569
,1,5435,10372,384,5511,10329,384,986,24.9489274236757
,1,5435,10372,384,5265,10025,391,1062,110.419607841716
,2,5474,10301,384,5265,10213,389,1050,64.8074069840786
,2,5474,10301,384,5511,10133,393,1035,49.217551208271
,2,5474,10301,384,5511,10329,384,993,13.2572660092802
,2,5474,10301,384,5265,10025,391,1068,98.9355593199896
,3,5439,10266,384,5265,10213,389,1026,51.9890098276274
,3,5439,10266,384,5511,10133,393,1015,43.2873644192777
,3,5439,10266,384,5511,10329,384,992,27.3346606613177
,3,5439,10266,384,5265,10025,391,1045,84.9518471048783
,4,5483,10355,388,5265,10213,389,1068,74.334599299796
,4,5483,10355,388,5511,10133,393,1052,63.9470444179863
,4,5483,10355,388,5511,10329,384,1005,10.9767844070277
,4,5483,10355,388,5265,10025,391,1111,113.004605288132
,5,5504,10386,384,5265,10213,389,1066,84.3099238838829
,5,5504,10386,384,5511,10133,393,1052,72.3590819088653
,5,5504,10386,384,5511,10329,384,1001,16.4080617318414
,5,5504,10386,384,5265,10025,391,1110,123.714945560761
,6,5484,10327,388,5265,10213,389,1067,70.541925585471
,6,5484,10327,388,5511,10133,393,1047,55.9810463551764
,6,5484,10327,388,5511,10329,384,1001,7.819389819088
,6,5484,10327,388,5265,10025,391,1094,106.588661953994
,7,5344,10413,384,5265,10213,389,982,61.455807915368
,7,5344,10413,384,5511,10133,393,1008,93.1840399753222
,7,5344,10413,384,5511,10329,384,971,53.4102336750598
,7,5344,10413,384,5265,10025,391,1031,113.149350463023
,8,5505,10369,384,5265,10213,389,1073,81.7966617751056
,8,5505,10369,384,5511,10133,393,1057,67.4993575177284
,8,5505,10369,384,5511,10329,384,1001,11.5564276663752
,8,5505,10369,384,5265,10025,391,1117,119.858760418167
,9,5485,10335,384,5265,10213,389,1080,71.8893707904935
,9,5485,10335,384,5511,10133,393,1059,58.2471861455775
,9,5485,10335,384,5511,10329,384,1007,7.62380803664362
,9,5485,10335,384,5265,10025,391,1076,108.62742916661
,10,5356,10422,384,5265,10213,389,993,65.1447368149867
,10,5356,10422,384,5511,10133,393,1017,93.7330120662961
,10,5356,10422,384,5511,10329,384,981,51.6455739257727
,10,5356,10422,384,5265,10025,391,1041,116.387459875738
,11,5373,10283,391,5265,10213,389,962,36.7762123650379
,11,5373,10283,391,5511,10133,393,982,58.2380757699613
,11,5373,10283,391,5511,10329,384,988,41.6094573237324
,11,5373,10283,391,5265,10025,391,1044,79.9121967141028
,12,5359,10287,391,5265,10213,389,992,34.1855680254766
,12,5359,10287,391,5511,10133,393,1010,61.8252969822125
,12,5359,10287,391,5511,10329,384,1006,45.1003416431243
,12,5359,10287,391,5265,10025,391,1033,79.5292270752311
,13,5490,10389,384,5265,10213,389,1064,81.6293264628314
,13,5490,10389,384,5511,10133,393,1045,73.4335740374821
,13,5490,10389,384,5511,10329,384,993,18.1625315146432
,13,5490,10389,384,5265,10025,391,1097,122.281041299232
,14,5477,10341,384,5265,10213,389,1012,70.7701078370332
,14,5477,10341,384,5511,10133,393,1000,60.2721718032257
,14,5477,10341,384,5511,10329,384,951,10.3015750727543
,14,5477,10341,384,5265,10025,391,1048,108.740094552402
,15,5333,10322,384,5265,10213,389,967,36.7340135991432
,15,5333,10322,384,5511,10133,393,1004,74.2230504930227
,15,5333,10322,384,5511,10329,384,973,50.896453507016
,15,5333,10322,384,5265,10025,391,1010,87.0758524599826
,16,5364,10403,388,5265,10213,389,998,61.2135772587775
,16,5364,10403,388,5511,10133,393,1014,87.8468054313291
,16,5364,10403,388,5511,10329,384,990,47.0353753106345
,16,5364,10403,388,5265,10025,391,1051,111.645941827415
,17,5338,10392,388,5265,10213,389,991,55.2330868008572
,17,5338,10392,388,5511,10133,393,1016,89.0012611696931
,17,5338,10392,388,5511,10329,384,984,52.6164403577282
,17,5338,10392,388,5265,10025,391,1034,106.914804915896
,18,5485,10316,388,5265,10213,389,1036,69.4056399519726
,18,5485,10316,388,5511,10133,393,1020,52.8301089168219
,18,5485,10316,388,5511,10329,384,979,8.38365757206926
,18,5485,10316,388,5265,10025,391,1078,104.232863320156
,19,5506,10387,384,5265,10213,389,1068,84.9403151798788
,19,5506,10387,384,5511,10133,393,10417,72.6310216513746
,19,5506,10387,384,5511,10329,384,994,16.632890946089
,19,5506,10387,384,5265,10025,391,1105,124.268964388556
,20,5514,10175,395,5265,10213,389,1060,71.9869602704517
,20,5514,10175,395,5511,10133,393,998,12.0441365190617
,20,5514,10175,395,5511,10329,384,1043,44.1204288838851
,20,5514,10175,395,5265,10025,391,1087,83.0623075695319
,21,5487,10225,384,5265,10213,389,1020,63.5372299666639
,21,5487,10225,384,5511,10133,393,998,27.2868361773847
,21,5487,10225,384,5511,10329,384,985,30.4952321465745
,21,5487,10225,384,5265,10025,391,1038,85.396075998364
,22,5384,10254,388,5265,10213,389,1008,35.962565571007
,22,5384,10254,388,5511,10133,393,1016,50.13858345646
,22,5384,10254,388,5511,10329,384,1012,42.1561722306812
,22,5384,10254,388,5265,10025,391,1047,73.7403054852719
,23,5497,10331,388,5265,10213,389,1063,74.3675373549837
,23,5497,10331,388,5511,10133,393,1052,56.7306561476137
,23,5497,10331,388,5511,10329,384,1000,4.19912527334259
,23,5497,10331,388,5265,10025,391,1098,109.71912191722
,24,5358,10379,388,5265,10213,389,996,54.3653551145828
,24,5358,10379,388,5511,10133,393,1024,82.7832182540024
,24,5358,10379,388,5511,10329,384,985,46.0035491088703
,24,5358,10379,388,5265,10025,391,1049,104.578454096551
,25,5492,10365,384,5265,10213,389,1064,78.0674747397717
,25,5492,10365,384,5511,10133,393,1048,66.5573252994771
,25,5492,10365,384,5511,10329,384,997,11.6303613925986
,25,5492,10365,384,5265,10025,391,1107,116.821161068829
,26,5329,10281,384,5265,10213,389,984,26.7184870645852
,26,5329,10281,384,5511,10133,393,1019,67.0723033565347
,26,5329,10281,384,5511,10329,384,1013,53.7780776213976
,26,5329,10281,384,5265,10025,391,1019,75.4204541086779
,27,5495,10367,384,5265,10213,389,1069,79.0974599040026
,27,5495,10367,384,5511,10133,393,1046,67.0625659746333
,27,5495,10367,384,5511,10329,384,996,11.780301787479
,27,5495,10367,384,5265,10025,391,1104,117.772870303784
,28,5454,10236,384,5265,10213,389,1034,54.4171341564026
,28,5454,10236,384,5511,10133,393,1019,33.7324406324299
,28,5454,10236,384,5511,10329,384,1012,31.1651296503392
,28,5454,10236,384,5265,10025,391,1064,80.9590473445604
,29,5461,10276,391,5265,10213,389,1069,58.8245402074019
,29,5461,10276,391,5511,10133,393,1053,43.2864214935156
,29,5461,10276,391,5511,10329,384,1040,20.9138173249658
,29,5461,10276,391,5265,10025,391,1114,90.9886738858755
,30,5481,10354,388,5265,10213,389,1060,73.6998878519347
,30,5481,10354,388,5511,10133,393,1048,63.7379840616637
,30,5481,10354,388,5511,10329,384,1004,11.2158779579374
,30,5481,10354,388,5265,10025,391,1104,112.451712993187
,31,5551,10407,383,5265,10213,389,1065,98.7546950575939
,31,5551,10407,383,5511,10133,393,1031,79.1670927306831
,31,5551,10407,383,5511,10329,384,986,25.0468947930778
,31,5551,10407,383,5265,10025,391,1102,136.362063070701
,32,5340,10452,384,5265,10213,389,987,71.5832610692341
,32,5340,10452,384,5511,10133,393,1012,103.443960970298
,32,5340,10452,384,5511,10329,384,983,60.1833931938581
,32,5340,10452,384,5265,10025,391,1044,123.883750643373
,33,5472,10359,384,5265,10213,389,1062,72.3878442834154
,33,5472,10359,384,5511,10133,393,1055,65.5762525458659
,33,5472,10359,384,5511,10329,384,997,14.0581881144486
,33,5472,10359,384,5265,10025,391,1100,112.287531791906
,34,5505,10349,384,5265,10213,389,1066,78.82866980784
,34,5505,10349,384,5511,10133,393,1040,61.7916182150351
,34,5505,10349,384,5511,10329,384,991,5.96588943366317
,34,5505,10349,384,5265,10025,391,1101,115.219400293881
,35,5420,10336,384,5265,10213,389,1286,56.5533881768875
,35,5420,10336,384,5511,10133,393,1282,63.6129880205132
,35,5420,10336,384,5511,10329,384,1233,26.0768096208106
,35,5420,10336,384,5265,10025,391,1299,99.3016431210008
,36,5434,10468,384,5265,10213,389,1228,87.4168993142303
,36,5434,10468,384,5511,10133,393,1231,98.2437618105795
,36,5434,10468,384,5511,10329,384,1178,45.4007102344877
,36,5434,10468,384,5265,10025,391,1271,135.483713909436
,37,5393,10331,384,5265,10213,389,1030,49.7610617381314
,37,5393,10331,384,5511,10133,393,1048,65.9059317264743
,37,5393,10331,384,5511,10329,384,1003,33.7191279815587
,37,5393,10331,384,5265,10025,391,1057,94.7904240405956
,38,5323,10457,384,5265,10213,389,985,71.6710171120625
,38,5323,10457,384,5511,10133,393,1005,107.057489800803
,38,5323,10457,384,5511,10329,384,981,64.9822581752206
,38,5323,10457,384,5265,10025,391,1040,124.552095485367
,39,5351,10430,384,5265,10213,389,984,66.7067906465852
,39,5351,10430,384,5511,10133,393,1011,96.4216928763588
,39,5351,10430,384,5511,10329,384,974,54.060434813687
,39,5351,10430,384,5265,10025,391,1041,118.311246381771
,40,5495,10376,384,5265,10213,389,1063,80.5562295694689
,40,5495,10376,384,5511,10133,393,1047,69.6264083138997
,40,5495,10376,384,5511,10329,384,991,14.1853618140645
,40,5495,10376,384,5265,10025,391,1104,119.914935836762
,41,5416,10391,388,5265,10213,389,980,66.6921039906066
,41,5416,10391,388,5511,10133,393,988,78.565714077907
,41,5416,10391,388,5511,10329,384,950,32.4320325402815
,41,5416,10391,388,5265,10025,391,1038,113.124818186797
,42,5309,10435,384,5265,10213,389,972,64.6781671518485
,42,5309,10435,384,5511,10133,393,1018,103.840144020528
,42,5309,10435,384,5511,10329,384,972,65.1779354176406
,42,5309,10435,384,5265,10025,391,1028,117.832464948835
,43,5413,10358,384,5265,10213,389,1038,59.2152765727885
,43,5413,10358,384,5511,10133,393,1050,70.1659839674642
,43,5413,10358,384,5511,10329,384,1001,29.2002236502478
,43,5413,10358,384,5265,10025,391,1063,104.135704241913
,44,5495,10128,384,5265,10213,389,1059,70.0728483910327
,44,5495,10128,384,5511,10133,393,994,5.43608502584013
,44,5495,10128,384,5511,10329,384,1048,57.610231517589
,44,5495,10128,384,5265,10025,391,1063,72.0306057399582
,45,5485,10411,384,5265,10213,389,1062,84.5777024699893
,45,5485,10411,384,5511,10133,393,1049,79.8166265733589
,45,5485,10411,384,5511,10329,384,994,24.5780721915504
,45,5485,10411,384,5265,10025,391,1097,126.956524777868
,46,5499,10349,384,5265,10213,389,1060,77.3420708176821
,46,5499,10349,384,5511,10133,393,1039,61.8629162597696
,46,5499,10349,384,5511,10329,384,982,6.66394502268034
,46,5499,10349,384,5265,10025,391,1096,114.207473217717
,47,5512,10335,384,5265,10213,389,1052,78.7234892208294
,47,5512,10335,384,5511,10133,393,1043,57.7722481219246
,47,5512,10335,384,5511,10329,384,966,1.73793215151378
,47,5512,10335,384,5265,10025,391,1102,113.26616657147
,48,5337,10501,384,5265,10213,389,1005,84.8302025537256
,48,5337,10501,384,5511,10133,393,1036,116.332037105618
,48,5337,10501,384,5511,10329,384,985,69.9037238796682
,48,5337,10501,384,5265,10025,391,1052,137.56156321251
,49,5277,10491,395,5265,10213,389,989,79.5210150635333
,49,5277,10491,395,5511,10133,393,1024,122.19890109396
,49,5277,10491,395,5511,10329,384,998,81.3764244052268
,49,5277,10491,395,5265,10025,391,1037,133.19189777405
,50,5448,10367,384,5265,10213,389,1034,68.3508356546859
,50,5448,10367,384,5511,10133,393,1055,69.2855670101527
,50,5448,10367,384,5511,10329,384,1013,21.0208836879045
,50,5448,10367,384,5265,10025,391,1075,110.841677860904
,51,5391,10396,384,5265,10213,389,1034,63.4967458590901
,51,5391,10396,384,5511,10133,393,1049,82.6351706513118
,51,5391,10396,384,5511,10329,384,994,39.267788117915
,51,5391,10396,384,5265,10025,391,1057,111.964280018227
,52,5490,10415,384,5265,10213,389,1056,86.4038925804921
,52,5490,10415,384,5511,10133,393,1048,80.8354337338446
,52,5490,10415,384,5511,10329,384,987,25.2933805973187
,52,5490,10415,384,5265,10025,391,1094,128.658383294042
,53,5526,10313,388,5265,10213,389,1089,79.8580373065165
,53,5526,10313,388,5511,10133,393,1051,51.626602855979
,53,5526,10313,388,5511,10329,384,1014,6.36957051703084
,53,5526,10313,388,5265,10025,391,1122,111.052111319738
,54,5296,10436,384,5265,10213,389,991,64.3428317685816
,54,5296,10436,384,5511,10133,393,1030,106.182361423878
,54,5296,10436,384,5511,10329,384,1004,68.6154620523178
,54,5296,10436,384,5265,10025,391,1043,117.779108365393
,55,5400,10403,384,5265,10213,389,1025,66.6088184392844
,55,5400,10403,384,5511,10133,393,1038,83.447160355692
,55,5400,10403,384,5511,10329,384,995,38.1158277691907
,55,5400,10403,384,5265,10025,391,1073,114.698540104226
,56,5466,10379,384,5265,10213,389,1056,74.495308714094
,56,5466,10379,384,5511,10133,393,1052,71.4982517268779
,56,5466,10379,384,5511,10329,384,1001,19.219462924391
,56,5466,10379,384,5265,10025,391,1088,116.326774077797
,57,5350,10386,384,5265,10213,389,1001,55.091019305902
,57,5350,10386,384,5511,10133,393,1027,85.7195236494807
,57,5350,10386,384,5511,10329,384,1001,48.7977918536886
,57,5350,10386,384,5265,10025,391,1052,105.982285774365
,58,5436,10355,384,5265,10213,389,1033,63.5224530447017
,58,5436,10355,384,5511,10133,393,1037,66.999847700101
,58,5436,10355,384,5511,10329,384,996,22.6796681399613
,58,5436,10355,384,5265,10025,391,1074,106.211187388762
,59,5513,10325,384,5265,10213,389,1078,77.7610153624815
,59,5513,10325,384,5511,10133,393,1050,54.9203504901342
,59,5513,10325,384,5511,10329,384,994,1.27775312999988
,59,5513,10325,384,5265,10025,391,1110,111.228024658302
,61,5502,10353,384,5265,10213,389,1069,78.6591717864004
,61,5502,10353,384,5511,10133,393,1057,62.9622497847653
,61,5502,10353,384,5511,10329,384,998,7.32343178170074
,61,5502,10353,384,5265,10025,391,1106,115.635599348707
,62,5318,10293,384,5265,10213,389,1088,27.4553440766519
,62,5318,10293,384,5511,10133,393,1142,71.673864533335
,62,5318,10293,384,5511,10329,384,1108,56.0939445238512
,62,5318,10293,384,5265,10025,391,1128,78.0800217464004
,63,5464,10373,384,5265,10213,389,1056,72.9696610145026
,63,5464,10373,384,5511,10133,393,1053,69.921238489008
,63,5464,10373,384,5511,10329,384,1006,18.3947641175084
,63,5464,10373,384,5265,10025,391,1097,114.554683493099
,64,5505,10370,384,5265,10213,389,1066,81.9526991499315
,64,5505,10370,384,5511,10133,393,1044,67.784773439203
,64,5505,10370,384,5511,10329,384,992,11.8390567743432
,64,5505,10370,384,5265,10025,391,1105,120.093161116438
